Logger ID,Ref Temp,Sphere Temp
103,21.73,72.3
103,21.74,72.4
103,21.74,72.4
103,21.76,72.4
103,21.76,72.3
103,21.77,72.4
103,21.77,72.4
103,21.78,72.4
103,21.78,72.4
103,21.8,72.4
103,21.8,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.82,72.3
103,21.82,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,72.3
103,21.81,98.4
103,21.81,181.9
103,21.81,266.9
103,21.82,338
103,21.82,407.4
103,21.82,441.5
103,21.83,478.9
103,21.83,477.9
103,21.83,472.3
103,21.83,466
103,21.85,460.5
103,21.85,455.4
103,21.85,450.6
103,21.85,446.1
103,21.85,442.1
103,21.85,437.5
103,21.85,438.7
103,21.86,430.9
103,21.86,425.6
103,21.87,421
103,21.86,416.4
103,21.86,412.4
103,21.88,409.4
103,21.89,405.9
103,21.89,401.8
103,21.9,398.1
103,21.89,394.3
103,21.89,390.6
103,21.89,385.5
103,21.91,380.1
103,21.9,376.8
103,21.91,372.4
103,21.9,367.6
103,21.9,361.7
103,21.9,355.8
103,21.92,352
103,21.93,347.3
103,21.92,343.8
103,21.92,339.4
103,21.92,334.2
103,21.93,330.2
103,21.93,327.4
103,21.93,325
103,21.93,325
103,21.94,320.6
103,21.94,330.9
103,21.94,332.7
103,21.94,320.5
103,21.94,321.9
103,21.94,325.8
103,21.94,311.9
103,21.94,309.6
103,21.95,316.5
103,21.95,290.5
103,21.95,286
103,21.97,283.3
103,21.97,280
103,21.97,275.4
103,21.97,271.6
103,21.97,269.9
103,21.98,266.2
103,21.98,264.7
103,21.98,262
103,21.98,263
103,21.98,261.1
103,21.98,268.7
103,21.98,271
103,21.99,272.3
103,21.99,278.7
103,21.99,276.2
103,21.99,274.2
103,21.99,243.3
103,21.99,239.8
103,21.99,237.8
103,21.99,234.5
103,21.99,233
103,21.99,235.7
103,21.99,235.5
103,21.99,245.8
103,21.99,222.8
103,21.99,225.2
103,21.99,227.5
103,21.99,238.2
103,21.99,239
103,21.99,232.9
103,21.99,232.2
103,21.99,229.5
103,21.99,233.6
103,21.99,238.5
103,21.99,236.3
103,21.99,234.5
103,21.99,234.9
103,21.99,232.8
103,21.99,204.8
103,21.99,207.7
103,21.99,205.3
103,21.99,198.6
103,21.99,199.5
103,21.99,192.7
103,21.99,190.8
103,21.99,190.5
103,21.99,192.9
103,21.99,190.7
103,21.98,188.1
103,21.98,188.7
103,21.98,188.3
103,21.98,187
103,21.98,184.4
103,21.98,183.5
103,21.98,182.5
103,21.97,181.1
103,21.97,180.6
103,21.97,179.8
103,21.97,178.4
103,21.97,176.8
103,21.97,176.8
103,21.97,175.5
103,21.97,176.9
103,21.97,176.8
103,21.97,177.2
103,21.97,176.3
103,21.97,178.3
103,21.97,170.2
103,21.97,168.7
103,21.97,167.4
103,21.97,166.5
103,21.97,166.2
103,21.97,164.9
103,21.97,163.5
103,21.97,164
103,21.97,163.8
103,21.97,163.3
103,21.97,161.3
103,21.98,161.3
103,21.98,160.4
103,21.97,160.6
103,21.98,160.5
103,21.98,159
103,21.97,159.1
103,21.97,155.6
103,21.97,154.3
103,21.97,152.5
103,21.97,152.1
103,21.97,151
103,21.97,150.5
103,21.97,150.2
103,21.97,151.1
103,21.97,148.9
103,21.97,150
103,21.97,148.5
103,21.98,146.5
103,21.98,145.6
103,21.97,145.4
103,21.97,144
103,21.97,143.3
103,21.97,142.6
103,21.98,141.7
103,21.98,141.1
103,21.98,140.4
103,21.99,140.6
103,21.99,139.1
103,21.99,138.4
103,21.99,137.6
103,21.99,136.9
103,21.99,136.6
103,21.99,135.8
103,21.99,135.2
103,21.99,134.8
103,21.99,134.2
103,21.99,133.6
103,21.99,133.2
103,21.99,132.6
103,21.99,132
103,21.99,131.5
103,21.99,131.3
103,21.99,130.6
103,21.99,129.9
103,21.99,129.2
103,21.99,128.8
103,21.99,128.2
103,21.99,127.8
103,21.99,127
103,21.99,126.5
103,21.99,126
103,21.99,125.4
103,21.99,125
103,21.99,124.5
103,21.99,123.9
103,21.99,123.4
103,21.99,123.1
103,21.99,122.9
103,21.99,122.5
103,21.98,121.6
103,21.98,121
103,21.98,120.6
103,21.98,120.4
103,21.97,119.9
103,21.97,119.2
103,21.97,118.7
103,21.97,118.4
103,21.97,117.9
103,21.97,117.6
103,21.95,117.2
103,21.97,116.8
103,21.95,116.3
103,21.95,116
103,21.95,115.7
103,21.95,115.3
103,21.95,114.8
103,21.95,114.5
103,21.95,114
103,21.95,113.6
103,21.94,113.2
103,21.94,112.9
103,21.94,112.4
103,21.94,112.5
103,21.94,111.8
103,21.94,111.9
103,21.93,111.5
103,21.93,110.8
103,21.93,110.5
103,21.93,110.3
103,21.93,110.2
103,21.93,109.9
103,21.93,109.6
103,21.93,109
103,21.93,109.1
103,21.93,108.5
103,21.93,108.5
103,21.93,108.9
103,21.93,108.9
103,21.93,108.6
103,21.93,108.3
103,21.92,108
103,21.92,106.7
103,21.92,107
103,21.92,107
103,21.9,106.4
103,21.9,106.8
103,21.9,106.4
103,21.9,104.5
103,21.9,103.6
103,21.9,103.6
103,21.9,103.5
103,21.9,103.3
103,21.9,103.1
103,21.9,102.1
103,21.89,102
103,21.89,102
103,21.89,101.6
103,21.89,101.2
103,21.89,100.6
103,21.88,100.6
103,21.88,100.7
103,21.88,100.5
103,21.88,100.4
103,21.86,100.1
103,21.86,100
103,21.86,99.8
103,21.86,99.7
103,21.85,99.5
103,21.85,99.1
103,21.85,98.8
103,21.84,98.8
103,21.84,98.4
103,21.84,98
103,21.84,96.9
103,21.84,96.8
103,21.82,96.6
